"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PURCHASE-URL";"VALUE";
"D11";"BAT54S";"BAT54S";"SOT95P240X110-3N";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"1.1mm";"Rectron";"BAT54S";"";"583-BAT54S";"https://www.mouser.co.uk/ProductDetail/Rectron/BAT54S/?qs=7pEAo90IqNGRiqD7TkybWA%3D%3D";"";"";"";"";
"D12";"BAT54S";"BAT54S";"SOT95P240X110-3N";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"";"Schottky Diodes & Rectifiers SOT23 0.2A 30V Schot tky Dblr";"";"1.1mm";"Rectron";"BAT54S";"";"583-BAT54S";"https://www.mouser.co.uk/ProductDetail/Rectron/BAT54S/?qs=7pEAo90IqNGRiqD7TkybWA%3D%3D";"";"";"";"";
"IC1";"ESP32-WROOM-32D_M113DH2800PH3Q";"ESP32-WROOM-32D_M113DH2800PH3Q";"ESP32WROOM32DM113DH2800PH3Q0";"WiFi Modules (802.11) SMD Module, ESP32-D0WD, 32Mbits SPI flash, UART mode, PCB antenna";"";"";"WiFi Modules (802.11) SMD Module, ESP32-D0WD, 32Mbits SPI flash, UART mode, PCB antenna";"";"3.2mm";"Espressif Systems";"ESP32-WROOM-32D(M113DH2800PH3Q0)";"";"356-ES32WROOM32D16MB";"https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-WROOM-32DM113DH2800PH3Q0/?qs=W%2FMpXkg%252BdQ75%2Fda1rSxxJw%3D%3D";"";"";"";"";
"IC2";"AP2112K-3.3TRG1";"AP2112K-3.3TRG1";"SOT95P282X130-5N";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"";"";"600mA 3.3V LDO Regulator Enable SOT23-5 DiodesZetex AP2112K-3.3TRG1, LDO Voltage Regulator, 3.3 V +/-1.5%, 2.5  6 Vin, 5-Pin SOT-23";"";"1.3mm";"Diodes Inc.";"AP2112K-3.3TRG1";"";"621-AP2112K-3.3TRG1";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP2112K-33TRG1/?qs=x6A8l6qLYDDPYHosCdzh%2FA%3D%3D";"";"";"";"";
"IC3";"CP2102N-A02-GQFN28";"CP2102N-A02-GQFN28";"QFN50P500X500X80-29N";"SILICON LABS - CP2102N-A02-GQFN28 - USB TO UART BRIDGE, -40 TO 85DEG C";"";"";"SILICON LABS - CP2102N-A02-GQFN28 - USB TO UART BRIDGE, -40 TO 85DEG C";"";"0.8mm";"Silicon Labs";"CP2102N-A02-GQFN28";"";"634-CP2102NA02GQFN28";"https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2102N-A02-GQFN28/?qs=u16ybLDytRaSBkSkyjYFiA%3D%3D";"";"";"";"";
"IC4";"AFE4400RHAR";"AFE4400RHAR";"QFN50P600X600X100-41N";"Integrated Analog Front End (AFE) for Heart-Rate Monitors and Low-Cost Pulse Oximeters";"";"";"Integrated Analog Front End (AFE) for Heart-Rate Monitors and Low-Cost Pulse Oximeters";"";"1mm";"Texas Instruments";"AFE4400RHAR";"";"595-AFE4400RHAR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/AFE4400RHAR/?qs=MURVExHfc2zl%2FM9SqCv0pw%3D%3D";"";"";"";"";
"IC5";"MCP73832T-2DFI_OT";"MCP73832T-2DFI_OT";"SOT95P270X145-5N";"Battery Management 4.2V Li-Ion/Li-Poly Chrg mgnt controller";"";"";"Battery Management 4.2V Li-Ion/Li-Poly Chrg mgnt controller";"";"1.45mm";"Microchip";"MCP73832T-2DFI/OT";"";"579-MCP73832T2DFI/OT";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP73832T-2DFI-OT?qs=Of9BA0M78V%2Fd7MaXZyVc5w%3D%3D";"";"";"";"";
"J1";"1734035-3";"1734035-3";"17340353";"USB Connectors Mini R/A SMT B Type";"";"";"USB Connectors Mini R/A SMT B Type";"";"3.95mm";"TE Connectivity";"1734035-3";"";"571-1734035-3";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/1734035-3?qs=JQ0T48ZyHbB%2Fl8a%2FPKP6Xw%3D%3D";"";"";"";"";
"J2";"47346-1001";"47346-1001";"473461001";"MOLEX - 47346-1001 - MULTIPOLE CONNECTOR";"";"";"MOLEX - 47346-1001 - MULTIPOLE CONNECTOR";"";"2.94mm";"Molex";"47346-1001";"";"538-47346-1001";"https://www.mouser.co.uk/ProductDetail/Molex/47346-1001/?qs=yd8XiKYcH9muPqUKe4E0Dw%3D%3D";"";"";"";"";
"J3";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)";"JST_B2B-PH-K-S(LF)(SN)";"PH Series 2 Position 2 mm Pitch Through Hole Top Entry Shrouded Header";"";"";" Connector Header Through Hole 2 position 0.079 (2.00mm) ";"455-1704-ND";"";"";"";"JST Sales";"";"";"B2B-PH-K-S(LF)(SN)";"None";"https://pricing.snapeda.com/search/part/B2B-PH-K-S(LF)(SN)/?ref=eda";"";
